Year,Round,Pick,Player,Position,NBA Team,Prev Team,Games Played,Games Started,Minutes,Points Per Game,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,DBoards,OBoards,Assists,Turnovers,Steals,Blocks,Fouls
2006,2,37,Bobby Jones,F,MIN,Washington,91,7,9.5,3.16,2.56,1.13,0.442,0.68,0.21,0.306,1.01,0.69,0.685,1.64,1.08,0.56,0.48,0.51,0.29,0.04,1.58
2006,2,38,Kosta Perovic,C,GOS,KK Partizan (Serbia),7,0,5.4,1.43,1.43,0.43,0.3,0,0,0,0.86,0.57,0.667,1.86,1,0.86,0.14,0.14,0,0.29,0.86
2006,2,39,David Noel,SF,MIL,North Carolina,68,0,11.6,2.71,2.6,0.96,0.367,0.78,0.25,0.321,0.63,0.54,0.86,1.81,1.19,0.62,0.96,0.59,0.37,0.13,1.13
2006,2,40,Denham Brown,GF,SEA,Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,41,James Augustine,FC,ORL,Illinois,27,0,5.8,1.56,1.37,0.7,0.514,0,0,0,0.3,0.15,0.5,1.22,0.59,0.63,0.15,0.22,0.19,0.07,0.74
2006,2,42,Daniel Gibson,G,CLE,Texas,397,77,23.5,7.85,6.66,2.68,0.402,3.57,1.46,0.407,1.31,1.03,0.78,1.99,1.64,0.36,1.95,0.94,0.61,0.22,2.04
2006,2,43,Marquinhos Vinicius,F,NOP,Objetivo Sao Carlos (Brazil),26,0,6.6,1.92,1.35,0.62,0.457,0.73,0.31,0.421,0.69,0.38,0.556,0.73,0.62,0.12,0.27,0.35,0.12,0.08,0.54
2006,2,44,Lior Eliyahu,PF,ORL,Hapoel Galil Gilboa (Israel),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,45,Alexander Johnson,F,IND,Florida State,102,25,12.8,4.3,2.88,1.49,0.517,0,0,0,1.97,1.32,0.672,2.7,1.89,0.8,0.29,0.87,0.37,0.44,2.13
2006,2,46,Dee Brown,G,UTH,Illinois,68,11,10.5,2.06,2.16,0.74,0.34,0.76,0.19,0.25,0.62,0.4,0.643,1.01,0.79,0.22,1.75,0.71,0.47,0.1,1.16
2006,2,47,Paul Millsap,FC,UTH,Louisiana Tech,837,559,29.5,14.21,10.88,5.36,0.493,1.21,0.4,0.328,4.2,3.09,0.736,7.47,5.19,2.28,2.3,1.82,1.31,1.04,3.15
2006,2,48,Vladimir Veremeenko,PF,WAS,Dynamo Saint Petersburg (Russia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,49,Leon Powe,F,DEN,California,239,19,13.9,6.21,3.98,2.05,0.515,0.02,0,0,3.09,2.11,0.682,3.81,2.22,1.59,0.33,0.79,0.29,0.34,2.1
2006,2,50,Ryan Hollins,C,CHA,UCLA,518,76,11.8,3.69,2.27,1.33,0.584,0,0,0,1.6,1.04,0.649,2.2,1.32,0.88,0.29,0.74,0.18,0.52,2
2006,2,51,Cheickh Samb,C,LAL,WTC Cornella (Spain),22,0,5.2,1,1.64,0.41,0.25,0.14,0,0,0.41,0.18,0.444,1.41,0.82,0.59,0.05,0.18,0.18,0.55,0.68
2006,2,52,Guillermo Diaz,G,LAC,Miami (FL),6,0,3,0.83,0.67,0.17,0.25,0.17,0,0,0.83,0.5,0.6,0.33,0,0.33,0.17,0,0,0,0
2006,2,53,Yotam Halperin,SG,SEA,Union Olimpija (Slovenia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,54,Hassan Adams,G,NJN,Arizona,72,8,7.6,2.57,2.06,1.1,0.534,0.01,0,0,0.58,0.38,0.643,1.17,0.67,0.5,0.19,0.36,0.25,0.07,0.71
2006,2,55,Ejike Ugboaja,F,CLE,Union Bank Lagos (Nigeria),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,56,Edin Bavcic,C,TOR,KK Bosna (Bosnia and Herzegovina),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,57,Loukas Mavrokefalidis,C,MIN,PAOK BC (Greece),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,58,J.R. Pinnock,SG,DAL,George Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
