Year,Round,Pick,Player,Position,NBA Team,Prev Team
2006,1,17,"Williams, Shawne",PF,Indiana Pacers,Memphis
2006,1,18,"Pecherov, Oleksiy",C,Washington Wizards,BC Kyiv
2006,1,19,"Douby, Quincy",G,Sacramento Kings,Rutgers
2006,1,20,"Balkman, Renaldo",F,New York Knicks,South Carolina
2006,1,21,"Rondo, Rajon",PG,Phoenix Suns,Kentucky
2006,1,22,"Williams, Marcus",G,New Jersey Nets,Connecticut
2006,1,23,"Boone, Josh",F,New Jersey Nets,Connecticut
2006,1,24,"Lowry, Kyle",PG,Memphis Grizzlies,Villanova
2006,1,25,"Brown, Shannon",G,Cleveland Cavaliers,Michigan State
2006,1,26,"Farmar, Jordan",G,Los Angeles Lakers,UCLA
2006,1,27,"Rodríguez, Sergio",G,Phoenix Suns,Adecco Estudiantes
2006,1,28,"Ager, Maurice",G,Dallas Mavericks,Michigan State
2006,1,29,"Collins, Mardy",G,New York Knicks,Temple
2006,1,30,"Freeland, Joel",F,Portland Trail Blazers,Gran Canaria
2006,2,31,"White, James",G,Portland Trail Blazers,Cincinnati
2006,2,32,"Novak, Steve",SF,Houston Rockets,Marquette
2006,2,33,"Jones, Solomon",F,Atlanta Hawks,South Florida
2006,2,34,"Davis, Paul",C,Los Angeles Clippers,Michigan State
2006,2,35,"Tucker, P.J.",F,Toronto Raptors,Texas
2006,2,36,"Smith, Craig",F,Minnesota Timberwolves,Boston College
2006,2,37,"Jones, Bobby",F,Minnesota Timberwolves,Washington
2006,2,38,"Perović, Kosta",C,Golden State Warriors,Partizan Belgrade
2006,2,39,"Noel, David",F,Milwaukee Bucks,North Carolina
2006,2,40,"Brown, Denham",G,Seattle SuperSonics,Connecticut
2006,2,41,"Augustine, James",F,Orlando Magic,Illinois
2006,2,42,"Gibson, Daniel",G,Cleveland Cavaliers,Texas
2006,2,43,"Vinicius, Marcus",F,New Orleans/Oklahoma City Hornets,Objetivo São Carlos
2006,2,44,"Eliyahu, Lior",F,Orlando Magic,Hapoel Galil Elyon
2006,2,45,"Johnson, Alexander",F,Indiana Pacers,Florida State
2006,2,46,"Brown, Dee",G,Utah Jazz,Illinois
2006,2,47,"Millsap, Paul",PF,Utah Jazz,Louisiana Tech
2006,2,48,"Veremeenko, Vladimir",F,Washington Wizards,Dynamo St. Petersburg
2006,2,49,"Powe, Leon",F,Denver Nuggets,California
2006,2,50,"Hollins, Ryan",C,Charlotte Bobcats,UCLA
2006,2,51,"Samb, Cheikh",C,Los Angeles Lakers,WTC Cornellà
2006,2,52,"Diaz, Guillermo",G,Los Angeles Clippers,Miami (FL)
2006,2,53,"Halperin, Yotam",G,Seattle SuperSonics,Union Olimpija
2006,2,54,"Adams, Hassan",G,New Jersey Nets,Arizona
2006,2,55,"Ugboaja, Ejike",F,Cleveland Cavaliers,Union Bank Lagos
2006,2,56,"Bavčić, Edin",F,Toronto Raptors,ASA BH Telecom
2006,2,57,"Mavrokefalidis, Loukas",C,Minnesota Timberwolves,PAOK
2006,2,58,"Pinnock, J. R.",G,Dallas Mavericks,George Washington
2006,2,59,"Markota, Damir",F,San Antonio Spurs,Cibona Zagreb
2006,2,60,"Blalock, Will",G,Detroit Pistons,Iowa State
2005,1,1,"Bogut, Andrew",C,Milwaukee Bucks,Utah
2005,1,2,"Williams, Marvin",F,Atlanta Hawks,North Carolina
2005,1,3,"Williams, Deron",PG,Utah Jazz,Illinois
2005,1,4,"Paul, Chris",PG,New Orleans Hornets,Wake Forest
2005,1,5,"Felton, Raymond",G,Charlotte Bobcats,North Carolina
2005,1,6,"Webster, Martell",G/F,Portland Trail Blazers,Seattle Prep. School
2005,1,7,"Villanueva, Charlie",F,Toronto Raptors,Connecticut
2005,1,8,"Frye, Channing",C,New York Knicks,Arizona
2005,1,9,"Diogu, Ike",F,Golden State Warriors,Arizona State
2005,1,10,"Bynum, Andrew",C,Los Angeles Lakers,St. Joseph HS
2005,1,11,"Vázquez, Fran",F/C,Orlando Magic,Unicaja Málaga
2005,1,12,"Korolev, Yaroslav",F,Los Angeles Clippers,CSKA Moscow
2005,1,13,"May, Sean",F,Charlotte Bobcats,North Carolina
2005,1,14,"McCants, Rashad",G,Minnesota Timberwolves,North Carolina
2005,1,15,"Wright, Antoine",G/F,New Jersey Nets,Texas A&M
2005,1,16,"Graham, Joey",F,Toronto Raptors,Oklahoma State
2005,1,17,"Granger, Danny",SF,Indiana Pacers,New Mexico
2005,1,18,"Green, Gerald",G/F,Boston Celtics,Gulf Shores Academy
2005,1,19,"Warrick, Hakim",F,Memphis Grizzlies,Syracuse
2005,1,20,"Hodge, Julius",G,Denver Nuggets,NC State
2005,1,21,"Robinson, Nate",G,Phoenix Suns,Washington
2005,1,22,"Jack, Jarrett",G,Denver Nuggets,Georgia Tech
2005,1,23,"García, Francisco",G/F,Sacramento Kings,Louisville
2005,1,24,"Head, Luther",G,Houston Rockets,Illinois
2005,1,25,"Petro, Johan",C,Seattle SuperSonics,Pau-Orthez
2005,1,26,"Maxiell, Jason",F,Detroit Pistons,Cincinnati
2005,1,27,"Kleiza, Linas",F,Portland Trail Blazers,Missouri
2005,1,28,"Mahinmi, Ian",F/C,San Antonio Spurs,Le Havre
2005,1,29,"Simien, Wayne",F,Miami Heat,Kansas
2005,1,30,"Lee, David",PF,New York Knicks,Florida
2005,2,31,"Stoudamire, Salim",G,Atlanta Hawks,Arizona
2005,2,32,"Ewing, Daniel",G,Los Angeles Clippers,Duke
2005,2,33,"Bass, Brandon",F,New Orleans Hornets,LSU
2005,2,34,"Miles, C. J.",G,Utah Jazz,Skyline HS
2005,2,35,"Sánchez, Ricky",F,Portland Trail Blazers,IMG Academy
2005,2,36,"İlyasova, Ersan",F,Milwaukee Bucks,Ülkerspor
2005,2,37,"Turiaf, Ronny",F,Los Angeles Lakers,Gonzaga
2005,2,38,"Diener, Travis",G,Orlando Magic,Marquette
